HDR,HALF HOURLY OUTTURN GENERATION BY FUEL TYPE DATA
FUELHH,20210420,5,18923,0,0,4694,735,0,330,1,145,0,0,2,0,1154,1000,0,0,2
FUELHH,20210420,6,19033,0,0,4693,767,0,326,1,140,0,0,0,0,1138,1000,0,0,2
FUELHH,20210420,7,18895,0,0,4689,770,0,324,1,139,0,0,2,0,1143,960,0,0,2
FUELHH,20210420,8,18782,0,0,4692,764,0,322,1,140,0,0,0,0,1166,954,0,0,2
FUELHH,20210420,9,19375,0,0,4693,786,0,305,1,140,0,0,0,0,1193,570,0,0,2
FUELHH,20210420,10,19280,0,0,4688,802,0,303,1,141,0,0,0,0,1215,490,0,0,2
FUELHH,20210420,11,20061,0,141,4683,871,0,307,4,139,0,0,0,0,1253,0,0,0,2
FUELHH,20210420,12,20173,0,481,4683,860,0,318,4,201,0,0,0,0,1445,0,0,0,2
FUELHH,20210420,13,19323,0,964,4690,933,0,374,5,141,0,0,0,0,1966,0,0,0,2
FUELHH,20210420,14,19660,0,1361,4684,932,286,410,4,210,0,0,0,0,2209,0,0,0,2
FUELHH,20210420,15,20403,0,1425,4686,830,728,458,5,242,0,0,0,0,2513,400,0,0,2
FUELHH,20210420,16,20741,0,1485,4686,775,1316,472,4,233,48,0,0,0,2916,410,0,0,2
FUELHH,20210420,17,20678,0,1482,4684,618,768,473,1,199,1382,0,0,0,2788,912,0,0,2
FUELHH,20210420,18,20583,0,1482,4688,449,20,478,1,410,1442,0,0,0,2751,924,0,0,2
FUELHH,20210420,19,20262,0,1382,4685,406,0,467,1,257,1512,0,0,0,2789,1000,0,0,2
FUELHH,20210420,20,20241,0,992,4693,333,0,460,1,147,1394,0,0,0,2734,1000,0,0,2
FUELHH,20210420,21,20369,0,740,4682,341,0,459,0,140,528,0,2,0,2733,1000,0,0,2
FUELHH,20210420,22,19693,0,701,4677,390,0,423,1,140,470,0,0,0,2766,1000,0,0,2
FUELHH,20210420,23,19349,0,691,4676,496,0,391,1,139,180,0,2,0,2713,1000,0,0,2
FUELHH,20210420,24,18765,0,689,4581,587,0,356,1,139,194,0,0,0,2713,1000,0,0,2
FUELHH,20210420,25,19021,0,699,4505,672,0,344,1,141,0,0,0,0,2546,1000,0,0,2
FUELHH,20210420,26,18778,0,703,4666,712,42,342,1,142,0,0,0,0,2500,1000,0,0,2
FUELHH,20210420,27,18414,0,694,4668,812,0,343,1,141,168,0,0,0,2623,1000,0,0,2
FUELHH,20210420,28,17773,0,692,4662,948,0,344,1,139,214,0,0,0,2788,1000,0,0,2
FUELHH,20210420,29,16931,0,696,4660,1007,0,344,1,140,1336,0,0,0,2620,992,0,0,2
FUELHH,20210420,30,16963,0,655,4659,1199,0,344,1,141,1412,0,0,0,2600,992,0,0,2
FUELHH,20210420,31,17509,0,457,4659,1279,0,339,1,140,1138,0,0,0,2724,966,0,0,2
FUELHH,20210420,32,18329,0,263,4661,1296,0,332,1,141,1122,0,0,0,2720,966,0,0,2
FTR,80
