Settlement Date,G(i)
2016-06-30 00:00:00,0.0
2016-06-30 00:30:00,0.0
2016-06-30 01:00:00,0.0
2016-06-30 01:30:00,0.0
2016-06-30 02:00:00,0.0
2016-06-30 02:30:00,0.0
2016-06-30 03:00:00,0.0
2016-06-30 03:30:00,6.5
2016-06-30 04:00:00,13.0
2016-06-30 04:30:00,70.0
2016-06-30 05:00:00,127.0
2016-06-30 05:30:00,200.5
2016-06-30 06:00:00,274.0
2016-06-30 06:30:00,342.0
2016-06-30 07:00:00,410.0
2016-06-30 07:30:00,387.5
2016-06-30 08:00:00,365.0
2016-06-30 08:30:00,288.5
2016-06-30 09:00:00,212.0
2016-06-30 09:30:00,247.0
2016-06-30 10:00:00,282.0
2016-06-30 10:30:00,193.0
2016-06-30 11:00:00,104.0
2016-06-30 11:30:00,358.0
2016-06-30 12:00:00,612.0
2016-06-30 12:30:00,516.0
2016-06-30 13:00:00,420.0
2016-06-30 13:30:00,317.0
2016-06-30 14:00:00,214.0
2016-06-30 14:30:00,316.5
2016-06-30 15:00:00,419.0
2016-06-30 15:30:00,345.0
2016-06-30 16:00:00,271.0
2016-06-30 16:30:00,181.5
2016-06-30 17:00:00,92.0
2016-06-30 17:30:00,79.5
2016-06-30 18:00:00,67.0
2016-06-30 18:30:00,52.5
2016-06-30 19:00:00,38.0
2016-06-30 19:30:00,26.0
2016-06-30 20:00:00,14.0
2016-06-30 20:30:00,7.0
2016-06-30 21:00:00,0.0
2016-06-30 21:30:00,0.0
2016-06-30 22:00:00,0.0
2016-06-30 22:30:00,0.0
2016-06-30 23:00:00,0.0
2016-06-30 23:30:00,0.0
