Settlement Date,Settlement Period,Market Index Data Provider Id,Market Index Volume(MWh),Market Index Price(£/MWh)
01-Jan-2016,1,APXMIDP,403.5,30.86
01-Jan-2016,1,N2EXMIDP,0,0
01-Jan-2016,2,APXMIDP,411.45,32.71
01-Jan-2016,2,N2EXMIDP,0,0
01-Jan-2016,3,APXMIDP,585.7,35.56
01-Jan-2016,3,N2EXMIDP,0,0
01-Jan-2016,4,N2EXMIDP,0,0
01-Jan-2016,4,APXMIDP,508.5,36.08
01-Jan-2016,5,N2EXMIDP,0,0
01-Jan-2016,5,APXMIDP,516.5,36.22
01-Jan-2016,6,APXMIDP,505.8,35.46
01-Jan-2016,6,N2EXMIDP,0,0
01-Jan-2016,7,APXMIDP,360.25,33.04
01-Jan-2016,7,N2EXMIDP,0,0
01-Jan-2016,8,APXMIDP,363.7,33.26
01-Jan-2016,8,N2EXMIDP,0,0
01-Jan-2016,9,APXMIDP,292.5,32.45
01-Jan-2016,9,N2EXMIDP,0,0
01-Jan-2016,10,APXMIDP,341.8,34.83
01-Jan-2016,10,N2EXMIDP,0,0
01-Jan-2016,11,APXMIDP,335.15,33.08
01-Jan-2016,11,N2EXMIDP,0,0
01-Jan-2016,12,APXMIDP,542.8,37.57
01-Jan-2016,12,N2EXMIDP,0,0
01-Jan-2016,13,APXMIDP,574.5,34.02
01-Jan-2016,13,N2EXMIDP,0,0
01-Jan-2016,14,APXMIDP,478.55,33.1
01-Jan-2016,14,N2EXMIDP,0,0
01-Jan-2016,15,APXMIDP,992.25,31.11
01-Jan-2016,15,N2EXMIDP,0,0
01-Jan-2016,16,N2EXMIDP,0,0
01-Jan-2016,16,APXMIDP,830.6,30.67
01-Jan-2016,17,APXMIDP,1022.35,25.15
01-Jan-2016,17,N2EXMIDP,0,0
01-Jan-2016,18,N2EXMIDP,0,0
01-Jan-2016,18,APXMIDP,943.7,25.64
01-Jan-2016,19,APXMIDP,898.1,27.55
01-Jan-2016,19,N2EXMIDP,0,0
01-Jan-2016,20,N2EXMIDP,0,0
01-Jan-2016,20,APXMIDP,941.2,27.57
01-Jan-2016,21,N2EXMIDP,0,0
01-Jan-2016,21,APXMIDP,986.1,28.46
01-Jan-2016,22,APXMIDP,731.85,29.14
01-Jan-2016,22,N2EXMIDP,0,0
01-Jan-2016,23,N2EXMIDP,0,0
01-Jan-2016,23,APXMIDP,406.45,35.85
01-Jan-2016,24,N2EXMIDP,0,0
01-Jan-2016,24,APXMIDP,506.15,35.71
01-Jan-2016,25,N2EXMIDP,0,0
01-Jan-2016,25,APXMIDP,588.75,38.75
01-Jan-2016,26,APXMIDP,661.85,38.84
01-Jan-2016,26,N2EXMIDP,0,0
01-Jan-2016,27,APXMIDP,797.85,39.74
01-Jan-2016,27,N2EXMIDP,0,0
01-Jan-2016,28,APXMIDP,889.65,39.82
01-Jan-2016,28,N2EXMIDP,0,0
01-Jan-2016,29,APXMIDP,893.8,38.74
01-Jan-2016,29,N2EXMIDP,0,0
