HDR,Settlement Date,SP,CCGT,Oil,Coal,Nuclear,Wind,PS,NPSHyd,OCGT,Other,INTFR,INTIRL,INTNED,INTEW,Biomass,INTNEM,INTELEC,INTIFA2,INTNSL
FUELHH,20201201,1,6131,0,0,6214,7520,0,594,0,133,1596,0,806,0,2989,804,0,0,0
FUELHH,20201201,2,6606,0,0,6221,7155,0,582,0,136,1606,0,804,0,2996,804,0,0,0
FUELHH,20201201,3,6272,0,0,6302,7098,0,541,0,132,1606,0,806,0,2996,804,0,0,0
FUELHH,20201201,4,5831,0,0,6332,7117,0,543,0,131,1606,0,806,0,2999,804,0,0,0
FUELHH,20201201,5,5772,0,0,6334,6959,0,525,0,131,1606,0,804,0,3002,804,0,0,0
FUELHH,20201201,6,5713,0,0,6324,6731,0,526,0,136,1608,0,804,0,3010,804,0,0,0
FUELHH,20201201,7,5724,0,0,6324,6577,0,511,0,134,1608,0,802,0,3007,804,0,0,0
FUELHH,20201201,8,5851,0,0,6329,6437,0,507,0,131,1608,0,804,0,3002,804,0,0,0
FUELHH,20201201,9,5848,0,0,6325,6301,0,524,0,132,1600,0,794,0,2987,804,0,0,0
FUELHH,20201201,10,6043,0,0,6324,6187,0,525,0,133,1600,0,792,0,2975,804,0,0,0
FUELHH,20201201,11,6000,0,190,6329,6129,0,522,1,129,1550,0,622,0,2981,776,0,0,0
FUELHH,20201201,12,7156,0,402,6333,6076,0,537,13,132,1280,30,562,0,2980,774,0,0,0
FUELHH,20201201,13,11449,0,707,6330,6087,394,681,68,147,0,126,0,72,2977,630,0,0,0
FUELHH,20201201,14,14933,0,1085,6338,6067,0,666,2,131,0,34,0,78,2973,630,0,0,0
FUELHH,20201201,15,19201,0,998,6343,6058,252,693,33,155,0,0,0,0,2961,802,0,0,0
FUELHH,20201201,16,20452,0,1010,6349,6069,642,789,99,279,0,0,0,0,2970,802,0,0,0
FUELHH,20201201,17,20911,0,996,6343,6042,538,740,98,313,0,0,0,0,2982,618,0,0,0
FUELHH,20201201,18,21369,0,1001,6348,6000,352,692,98,339,0,0,0,0,2977,616,0,0,0
FUELHH,20201201,19,21563,0,1156,6348,5982,278,636,98,286,0,0,0,0,2989,534,0,0,0
FUELHH,20201201,20,21710,0,1223,6354,5944,0,636,98,311,0,0,0,0,2948,522,0,0,0
