HDR,Settlement Date,SP,CCGT,Oil,Coal,Nuclear,Wind,PS,NPSHyd,OCGT,Other,INTFR,INTIRL,INTNED,INTEW,Biomass,INTNEM,INTELEC,INTIFA2,INTNSL
FUELHH,20201101,1,4863,0,0,5829,9111,0,673,0,129,1406,128,0,504,733,0,0,0,0
FUELHH,20201101,2,4898,0,0,5813,9226,0,674,1,131,1372,128,0,504,734,0,0,0,0
FUELHH,20201101,3,4997,0,0,5802,9356,0,674,0,133,510,128,0,504,727,18,0,0,0
FUELHH,20201101,4,4014,0,0,5814,9573,0,678,0,130,438,128,0,504,730,12,0,0,0
FUELHH,20201101,5,4649,0,0,5815,9556,0,676,1,131,0,128,0,504,725,0,0,0,0
FUELHH,20201101,6,3607,0,0,5818,10103,0,674,1,130,0,120,0,504,729,0,0,0,0
FUELHH,20201101,7,3294,0,0,5812,10066,0,675,0,128,0,82,0,504,733,0,0,0,0
FUELHH,20201101,8,3196,0,0,5813,9971,0,674,1,129,0,82,0,504,735,0,0,0,0
FUELHH,20201101,9,3841,0,0,5816,9617,0,672,1,129,0,82,0,504,734,0,0,0,0
FUELHH,20201101,10,3615,0,0,5814,9621,0,673,1,129,0,82,0,504,735,0,0,0,0
FUELHH,20201101,11,4007,0,0,5810,9713,0,672,28,131,0,82,0,504,734,0,0,0,0
FUELHH,20201101,12,4290,0,0,5815,9766,0,668,98,129,0,82,0,504,732,0,0,0,0
FUELHH,20201101,13,4231,0,0,5815,9805,0,668,98,129,0,82,0,504,790,0,0,0,0
FUELHH,20201101,14,4212,0,0,5812,9910,0,671,99,147,0,82,0,504,1007,0,0,0,0
FUELHH,20201101,15,3789,0,0,5813,9836,0,682,98,158,490,82,0,504,1191,0,0,0,0
FUELHH,20201101,16,3980,0,0,5806,9793,0,686,73,159,540,82,0,504,1228,0,0,0,0
FUELHH,20201101,17,3655,0,0,5807,9788,0,684,1,135,1332,82,0,504,1178,0,0,0,0
FUELHH,20201101,18,3944,0,0,5802,9875,230,677,1,134,1368,82,0,504,1458,0,0,0,0
FUELHH,20201101,19,4356,0,0,5805,9880,286,676,1,139,1406,82,0,504,1814,280,0,0,0
FUELHH,20201101,20,5103,0,0,5807,10060,286,675,0,145,1408,68,0,504,1824,302,0,0,0
FUELHH,20201101,21,5264,0,0,5807,10602,162,676,79,242,1408,0,0,504,1828,320,0,0,0
FUELHH,20201101,22,5428,0,0,5812,11115,0,669,91,244,1408,42,0,490,1813,324,0,0,0
FUELHH,20201101,23,5130,0,0,5805,11214,0,693,82,241,1406,0,124,394,1807,650,0,0,0
FUELHH,20201101,24,5618,0,0,5810,11051,14,702,50,222,1406,0,130,482,1817,656,0,0,0
FUELHH,20201101,25,5475,0,0,5811,10948,36,711,0,129,1506,0,722,504,1838,756,0,0,0
FUELHH,20201101,26,5619,0,0,5816,11194,0,680,39,147,1506,0,752,470,1860,756,0,0,0
FUELHH,20201101,27,6051,0,0,5812,10818,0,675,98,177,1508,0,758,326,1859,756,0,0,0
FUELHH,20201101,28,6241,0,0,5810,10833,44,671,98,301,1508,0,758,282,1859,756,0,0,0
FUELHH,20201101,29,6632,0,0,5807,10816,106,678,99,301,1658,0,528,138,1864,828,0,0,0
FUELHH,20201101,30,7132,0,0,5810,10752,108,678,100,301,1658,0,524,90,1945,828,0,0,0
FUELHH,20201101,31,7477,0,0,5812,10619,692,703,99,291,1658,0,766,252,1948,828,0,0,0
FUELHH,20201101,32,8176,0,0,5811,10579,720,703,98,276,1662,0,768,266,1995,830,0,0,0
FUELHH,20201101,33,9139,0,0,5816,10565,936,704,98,272,1998,0,614,332,1990,998,0,0,0
FUELHH,20201101,34,10577,0,0,5809,10671,1190,728,98,325,2004,0,612,402,1990,1000,0,0,0
FUELHH,20201101,35,10662,0,0,5827,11260,888,937,98,410,2004,0,984,256,2026,1000,0,0,0
FUELHH,20201101,36,10316,0,0,5813,11322,1142,959,98,445,2004,0,994,102,2027,1000,0,0,0
FUELHH,20201101,37,10078,0,0,5811,11032,1150,984,98,332,2004,0,866,0,2031,1000,0,0,0
FUELHH,20201101,38,9742,0,0,5813,10832,1070,978,98,177,2004,0,864,0,2024,1000,0,0,0
FUELHH,20201101,39,9208,0,0,5818,10612,724,983,6,154,1906,0,730,0,1954,948,0,0,0
FUELHH,20201101,40,8013,0,0,5809,10476,552,987,0,137,1904,0,726,0,1876,948,0,0,0
FUELHH,20201101,41,7171,0,0,5812,10546,312,847,0,130,1806,0,736,32,1840,902,0,0,0
FUELHH,20201101,42,5798,0,0,5815,10850,108,846,1,136,1806,0,736,0,1788,902,0,0,0
FUELHH,20201101,43,5016,0,0,5811,11029,38,820,0,130,1610,0,706,0,1762,698,0,0,0
FUELHH,20201101,44,4140,0,0,5807,10941,0,816,0,129,1608,0,700,0,1722,696,0,0,0
FUELHH,20201101,45,4121,0,0,5808,10704,104,796,0,130,1410,0,0,0,1646,706,0,0,0
FUELHH,20201101,46,3508,0,0,5802,10456,0,794,1,129,1408,0,0,0,1353,702,0,0,0
FUELHH,20201101,47,3499,0,0,5809,10105,0,778,1,131,1368,0,0,0,1027,440,0,0,0
FUELHH,20201101,48,3398,0,0,5806,9866,0,778,1,128,1368,0,0,0,1140,438,0,0,0
FUELHH,20201102,1,3225,0,0,5805,9915,0,778,1,128,886,0,362,0,1037,492,0,0,0
FUELHH,20201102,2,3542,0,0,5787,9749,0,778,0,134,874,0,398,0,1006,492,0,0,0
FUELHH,20201102,3,3952,0,0,5791,9120,0,766,0,133,722,0,154,0,959,396,0,0,0
FUELHH,20201102,4,3513,0,0,5794,9106,0,694,0,129,718,0,146,0,922,388,0,0,0
FUELHH,20201102,5,4101,0,0,5794,8931,0,692,0,129,520,0,0,0,934,8,0,0,0
FUELHH,20201102,6,4135,0,0,5796,8998,0,692,97,131,518,0,0,0,932,0,0,0,0
FUELHH,20201102,7,3477,0,0,5799,9495,0,605,58,130,518,0,0,0,954,0,0,0,0
FUELHH,20201102,8,3005,0,0,5795,9770,0,603,0,131,518,0,0,74,1024,0,0,0,0
FUELHH,20201102,9,2927,0,0,5803,9866,0,602,0,129,590,0,0,214,1022,0,0,0,0
FUELHH,20201102,10,2785,0,0,5800,9894,0,619,0,129,590,0,0,278,1115,0,0,0,0
FUELHH,20201102,11,2947,0,0,5805,9987,0,807,1,128,42,0,0,236,1023,0,0,0,0
FUELHH,20201102,12,3592,0,0,5801,9866,0,791,1,130,28,0,0,230,1015,0,0,0,0
FUELHH,20201102,13,4235,0,0,5800,9797,0,808,1,132,758,0,178,354,1319,638,0,0,0
FUELHH,20201102,14,5509,0,0,5794,10283,0,813,1,136,800,0,188,486,1831,660,0,0,0
FUELHH,20201102,15,6575,0,0,5798,10467,0,968,0,128,1388,0,462,466,1962,852,0,0,0
FUELHH,20201102,16,7746,0,0,5800,10431,46,983,0,153,1408,0,468,366,1948,854,0,0,0
