HDR,Settlement Date,SP,CCGT,Oil,Coal,Nuclear,Wind,PS,NPSHyd,OCGT,Other,INTFR,INTIRL,INTNED,INTEW,Biomass,INTNEM,INTELEC,INTIFA2,INTNSL
FUELHH,20200801,1,7547,0,0,5298,6340,0,223,23,144,0,202,760,0,1735,604,0,0,0
FUELHH,20200801,2,6897,0,0,5297,6413,0,195,0,144,0,140,758,0,1743,604,0,0,0
FUELHH,20200801,3,6047,0,0,5295,6467,0,192,0,145,0,196,736,0,1743,704,0,0,0
FUELHH,20200801,4,6164,0,0,5293,5920,0,175,0,148,0,222,736,0,1709,704,0,0,0
FUELHH,20200801,5,6930,0,0,5292,5479,0,174,0,161,0,226,594,0,1717,698,0,0,0
FUELHH,20200801,6,6887,0,0,5294,5592,0,210,0,145,0,164,592,0,1730,698,0,0,0
FUELHH,20200801,7,6527,0,0,5298,5543,0,214,0,174,0,188,464,0,1653,730,0,0,0
FUELHH,20200801,8,6392,0,0,5300,5556,0,214,0,159,0,134,462,0,1653,730,0,0,0
FUELHH,20200801,9,6092,0,0,5295,5281,0,213,0,144,0,186,656,0,1639,730,0,0,0
FUELHH,20200801,10,6328,0,0,5295,5233,0,214,0,144,0,180,658,0,1611,730,0,0,0
FUELHH,20200801,11,6344,0,0,5299,4992,0,230,0,144,0,314,520,40,1556,730,0,0,0
FUELHH,20200801,12,6476,0,0,5295,4638,0,230,1,165,0,350,520,206,1524,730,0,0,0
FUELHH,20200801,13,7128,0,0,5291,3974,0,215,1,155,0,398,706,344,1591,756,0,0,0
FUELHH,20200801,14,7690,0,0,5295,3825,0,227,1,156,0,394,710,414,1595,756,0,0,0
FUELHH,20200801,15,7840,0,0,5286,3968,0,286,0,160,0,306,778,260,1518,804,0,0,0
FUELHH,20200801,16,8211,0,0,5284,4004,26,298,0,132,0,314,778,230,1522,804,0,0,0
FUELHH,20200801,17,8119,0,0,5292,3808,98,308,0,128,1110,180,852,88,1633,854,0,0,0
FUELHH,20200801,18,9007,0,0,5294,3496,0,347,0,126,1190,186,852,26,1687,854,0,0,0
FUELHH,20200801,19,9198,0,0,5297,3268,0,406,0,128,1770,48,902,0,1694,900,0,0,0
FUELHH,20200801,20,9454,0,0,5292,3140,0,417,0,133,1786,14,902,0,1735,902,0,0,0
FUELHH,20200801,21,9485,0,0,5296,3051,44,447,0,85,1884,0,948,0,1743,950,0,0,0
FUELHH,20200801,22,9391,0,0,5296,2997,0,451,0,141,1884,0,950,0,1743,950,0,0,0
FUELHH,20200801,23,9350,0,0,5302,2858,0,425,0,143,1904,18,912,0,1747,990,0,0,0
FUELHH,20200801,24,9528,0,0,5301,2608,68,421,0,146,1904,18,910,0,1749,990,0,0,0
FUELHH,20200801,25,9772,0,0,5301,2491,0,420,0,147,1906,18,1000,0,1748,902,0,0,0
FUELHH,20200801,26,9567,0,0,5301,2489,0,406,0,149,1906,18,1000,0,1754,902,0,0,0
FUELHH,20200801,27,9546,0,0,5309,2540,0,295,1,152,1440,18,950,0,1754,950,0,0,0
FUELHH,20200801,28,9449,0,0,5311,2622,0,275,1,152,1388,18,950,0,1755,950,0,0,0
FUELHH,20200801,29,10050,0,0,5298,2523,0,275,1,151,488,18,926,58,1754,926,0,0,0
FUELHH,20200801,30,9944,0,0,5296,2413,0,274,1,150,440,18,926,148,1753,926,0,0,0
