HDR,Settlement Date,SP,CCGT,Oil,Coal,Nuclear,Wind,PS,NPSHyd,OCGT,Other,INTFR,INTIRL,INTNED,INTEW,Biomass,INTNEM,INTELEC,INTIFA2,INTNSL
FUELHH,20200301,1,3026,0,542,4795,12164,0,540,0,149,1508,82,678,504,1271,756,0,0,0
FUELHH,20200301,2,3418,0,542,4796,12323,0,541,0,149,1508,82,678,504,1274,756,0,0,0
FUELHH,20200301,3,3755,0,540,4793,12314,0,536,0,152,1458,68,574,504,1273,686,0,0,0
FUELHH,20200301,4,3341,0,541,4794,12240,0,507,0,148,1458,0,522,504,1275,686,0,0,0
FUELHH,20200301,5,3194,0,541,4787,12244,0,497,0,155,1458,68,0,504,1304,686,0,0,0
FUELHH,20200301,6,3160,0,540,4789,12217,0,497,0,147,1442,66,0,504,1273,686,0,0,0
FUELHH,20200301,7,3274,0,541,4794,12150,0,515,0,155,872,80,0,504,1285,682,0,0,0
FUELHH,20200301,8,3090,0,541,4800,12079,0,513,0,157,822,82,0,504,1259,682,0,0,0
FUELHH,20200301,9,3428,0,542,4797,12107,0,512,0,159,0,82,0,504,1371,686,0,0,0
FUELHH,20200301,10,3622,0,541,4799,11989,0,517,0,150,0,82,0,504,1386,686,0,0,0
FUELHH,20200301,11,3652,0,542,4802,12058,0,529,0,150,0,82,0,504,1402,610,0,0,0
FUELHH,20200301,12,3743,0,542,4800,12035,0,530,0,162,0,82,0,504,1488,610,0,0,0
FUELHH,20200301,13,3652,0,542,4798,12051,0,539,0,156,564,82,0,504,1416,680,0,0,0
FUELHH,20200301,14,3800,0,542,4797,12241,0,480,0,152,588,82,0,504,1441,682,0,0,0
FUELHH,20200301,15,3741,0,543,4797,12161,0,429,0,154,1288,82,0,504,1274,692,0,0,0
FUELHH,20200301,16,3691,0,542,4796,12308,0,457,0,152,1310,82,0,496,1259,692,0,0,0
FUELHH,20200301,17,3663,0,541,4799,12353,0,491,0,155,1308,82,100,390,1254,708,0,0,0
FUELHH,20200301,18,3748,0,537,4798,12431,0,512,0,155,1310,78,102,354,1372,708,0,0,0
FUELHH,20200301,19,3566,0,539,4799,12407,0,655,0,160,1504,18,680,208,1458,756,0,0,0
FUELHH,20200301,20,3636,0,540,4797,12208,0,597,0,160,1506,18,758,242,1661,756,0,0,0
FUELHH,20200301,21,3799,0,540,4793,12493,0,580,0,157,1506,76,758,392,1561,756,0,0,0
FUELHH,20200301,22,3565,0,540,4795,12713,0,548,0,164,1506,80,760,500,1472,756,0,0,0
FUELHH,20200301,23,3674,0,540,4787,12594,0,570,0,163,1506,46,760,504,1455,756,0,0,0
FUELHH,20200301,24,3683,0,541,4793,12685,0,571,0,160,1506,44,760,504,1604,756,0,0,0
FUELHH,20200301,25,3794,0,545,4795,12721,0,572,0,175,1606,0,804,504,1619,804,0,0,0
FUELHH,20200301,26,3890,0,541,4807,12909,0,566,0,159,1604,0,804,496,1671,804,0,0,0
FUELHH,20200301,27,3766,0,540,4813,12986,20,554,0,180,1480,0,804,504,1556,804,0,0,0
FUELHH,20200301,28,3779,0,541,4815,12973,0,555,0,167,1482,0,804,504,1634,804,0,0,0
FUELHH,20200301,29,3908,0,540,4807,12740,0,555,1,164,1702,0,852,504,1628,854,0,0,0
FUELHH,20200301,30,4272,0,541,4805,12608,0,556,1,151,1706,0,852,504,1623,854,0,0,0
FUELHH,20200301,31,5125,0,541,4799,12334,156,561,1,164,1706,0,758,456,1717,854,0,0,0
FUELHH,20200301,32,6365,0,543,4802,12185,162,569,1,153,1708,0,756,476,1728,854,0,0,0
FUELHH,20200301,33,7870,0,648,4804,11981,222,780,1,152,2000,0,672,446,1731,860,0,0,0
FUELHH,20200301,34,9977,0,803,4800,11747,284,818,7,156,2004,0,672,298,1736,862,0,0,0
FUELHH,20200301,35,11593,0,929,4803,11999,298,834,45,163,2004,0,656,146,1726,1004,0,0,0
FUELHH,20200301,36,12260,0,983,4800,11611,1174,861,45,194,2004,0,662,70,1735,1006,0,0,0
FUELHH,20200301,37,13293,0,977,4800,11522,1376,817,46,188,2004,0,1048,6,1734,1018,0,0,0
FUELHH,20200301,38,13280,0,977,4800,11500,1374,849,38,173,2004,0,1056,0,1736,1018,0,0,0
FUELHH,20200301,39,13290,0,987,4800,11030,1576,848,0,162,2004,0,1054,0,1738,1020,0,0,0
FUELHH,20200301,40,12796,0,976,4806,11116,1270,729,0,154,2004,0,1056,0,1738,1020,0,0,0
FUELHH,20200301,41,12715,0,982,4802,11092,600,681,0,147,2004,0,1056,0,1737,1020,0,0,0
FUELHH,20200301,42,12321,0,847,4800,10895,204,677,0,147,2004,0,1056,0,1736,1020,0,0,0
FUELHH,20200301,43,10943,0,805,4818,10592,86,676,0,147,2002,0,1000,0,1737,1000,0,0,0
FUELHH,20200301,44,9769,0,805,4801,10254,0,671,0,146,2000,0,1000,0,1737,1000,0,0,0
FUELHH,20200301,45,8857,0,843,4805,10143,0,645,0,143,1758,0,880,0,1739,878,0,0,0
FUELHH,20200301,46,7705,0,805,4801,9594,118,644,0,145,1754,0,878,0,1738,878,0,0,0
FUELHH,20200301,47,7069,0,766,4798,9098,162,597,1,145,1608,0,806,0,1740,804,0,0,0
